#### Pb isotope ratio values for possible atmospheric Pb sources within the Northern Hemisphere.				
#### column names pb20x20y should be read as 20xPb/20yPb.
#### Missing values are reported as NA.
#### Bollhofer2001: Bollhöfer, A., Rosman, K.J.R., 2001. Isotopic source signatures for atmospheric lead: The Northern Hemisphere. Geochim. Cosmochim. Acta 65, 1727–1740. https://doi.org/10.1016/S0016-7037(00)00630-X
#### Carignan2002: Carignan, J., Simonetti, A., Gariépy, C., 2002. Dispersal of atmospheric lead in northeastern North America as recorded by epiphytic lichens. Atmos. Environ. 36, 3759–3766. https://doi.org/10.1016/S1352-2310(02)00294-7
#### Mukai2001a: Mukai, H., Machida, T., Tanaka, A., Vera, Y.P., Uematsu, M., 2001. Lead isotope ratios in the urban air of eastern and central Russia. Atmos. Environ. 35, 2783–2793. https://doi.org/10.1016/S1352-2310(00)00341-1
#### Mukai2001b: Mukai, H., Tanaka, A., Fujii, T., Zeng, Y., Hong, Y., Tang, J., Guo, S., Xue, H., Sun, Z., Zhou, J., Xue, D., Zhao, J., Zhai, G., Gu, J., Zhai, P., 2001. Regional characteristics of sulfur and lead isotope ratios in the atmosphere at several Chinese urban sites. Environ. Sci. Technol. 35, 1064–1071. https://doi.org/10.1021/es001399u
#### Zhu2010: Zhu, L., Tang, J., Lee, B., Zhang, Y., Zhang, F., 2010. Lead concentrations and isotopes in aerosols from Xiamen, China. Mar. Pollut. Bull. 60, 1946–55. https://doi.org/10.1016/j.marpolbul.2010.07.035						
sample	pb206204	pb207204	pb208204	pb206207	pb207206	pb208206	reference	area
Y-68	18.2417	15.6222	NA	1.1677	0.8564	2.1061	Zhu2010	china
Y-69	18.2839	15.6748	NA	1.1664	0.8573	2.1095	Zhu2010	china
Y-70	18.2541	15.6638	NA	1.1654	0.8581	2.1086	Zhu2010	china
Y-71	18.2355	15.6351	NA	1.1663	0.8574	2.1090	Zhu2010	china
Y-72	18.2511	15.6795	NA	1.1641	0.8591	2.1111	Zhu2010	china
Y-73	18.2031	15.6037	NA	1.1665	0.8572	2.1082	Zhu2010	china
Y-74	18.2531	15.7013	NA	1.1625	0.8602	2.1138	Zhu2010	china
Harbin	NA	NA	NA	1.1723	0.8530	2.0980	Mukai2001b	china
Harbinw	NA	NA	NA	1.1481	0.8710	2.1220	Mukai2001b	china
Changchun	NA	NA	NA	1.1655	0.8580	2.1130	Mukai2001b	china
Changchunw	NA	NA	NA	1.1455	0.8730	2.1310	Mukai2001b	china
Dalian	NA	NA	NA	1.1351	0.8810	2.1510	Mukai2001b	china
Dalianw	NA	NA	NA	1.1377	0.8790	2.1460	Mukai2001b	china
Waliguan	NA	NA	NA	1.1601	0.8620	2.1140	Mukai2001b	china
Shanghai	NA	NA	NA	1.1561	0.8650	2.1180	Mukai2001b	china
Shanghaiw	NA	NA	NA	1.1587	0.8630	2.1140	Mukai2001b	china
Nanjing	NA	NA	NA	1.1614	0.8610	2.1180	Mukai2001b	china
Nanjingw	NA	NA	NA	1.1655	0.8580	2.1110	Mukai2001b	china
Guiyang	NA	NA	NA	1.1848	0.8440	2.0770	Mukai2001b	china
Guiyangw	NA	NA	NA	1.1891	0.8410	2.0730	Mukai2001b	china
Beijingw	NA	NA	NA	1.1587	0.8630	2.1070	Mukai2001b	china
Beijing1	NA	NA	NA	1.1481	0.8710	2.1290	Mukai2001b	china
Seoul	NA	NA	NA	1.1500	0.8696	2.1260	Bollhofer2001	china
HongKong	NA	NA	NA	1.1490	0.8703	2.1240	Bollhofer2001	china
XinShao	NA	NA	NA	1.1770	0.8496	2.0940	Bollhofer2001	china
ChengDu	NA	NA	NA	1.1660	0.8576	2.1070	Bollhofer2001	china
Beijing2	NA	NA	NA	1.1410	0.8764	2.1340	Bollhofer2001	china
Vladivostok1	17.9800	15.5905	NA	1.1533	0.8671	2.1100	Mukai2001a	russia
Vladivostok2	17.9500	15.5950	NA	1.1510	0.8688	2.1200	Mukai2001a	russia
Khabarovsk	17.9300	15.6493	NA	1.1457	0.8728	2.1190	Mukai2001a	russia
Yakutsk	17.8900	15.5410	NA	1.1511	0.8687	2.1090	Mukai2001a	russia
Surgut	17.6900	15.5088	NA	1.1406	0.8767	2.1200	Mukai2001a	russia
Nizhnevartovsk	17.3600	15.5268	NA	1.1181	0.8944	2.1420	Mukai2001a	russia
Kemerovo	17.0500	15.5223	NA	1.0984	0.9104	2.1620	Mukai2001a	russia
Moscow1	18.0100	15.4904	NA	1.1627	0.8601	2.1020	Mukai2001a	russia
Moscow2	17.5600	15.3720	NA	1.1423	0.8754	2.1130	Mukai2001a	russia
Budapest	17.3000	15.5579	NA	1.1120	0.8993	2.1470	Bollhofer2001	russia
Prague	17.5100	15.5366	NA	1.1270	0.8873	2.1320	Bollhofer2001	russia
Bucharest	18.1000	15.6167	NA	1.1590	0.8628	2.1040	Bollhofer2001	russia
Chisinav	18.0000	15.6114	NA	1.1530	0.8673	2.1080	Bollhofer2001	russia
Vilnius	17.9700	15.5315	NA	1.1570	0.8643	2.0970	Bollhofer2001	russia
Kharkov	18.1400	15.5841	NA	1.1640	0.8591	2.0980	Bollhofer2001	russia
Bakou	17.9600	15.4833	NA	1.1600	0.8621	2.0960	Bollhofer2001	russia
AlmaAlta	17.5200	15.5735	NA	1.1250	0.8889	2.1360	Bollhofer2001	russia
Ulanbaator1	17.4700	15.4872	NA	1.1280	0.8865	2.1230	Bollhofer2001	russia
Ulanbaator2	18.1100	15.5710	NA	1.1631	0.8598	2.0970	Bollhofer2001	russia
StPetersburg	18.0000	15.5718	NA	1.1559	0.8651	2.1060	Bollhofer2001	russia
Moscow3	17.8700	15.5666	NA	1.1480	0.8711	2.1110	Bollhofer2001	russia
Moscow4	18.1250	15.6111	NA	1.1610	0.8613	2.1020	Bollhofer2001	russia
Apatity	17.9100	15.5871	NA	1.1490	0.8703	2.1130	Bollhofer2001	russia
Mainz	17.6300	15.5602	NA	1.1330	0.8826	2.1230	Bollhofer2001	europe
Nurnberg	17.8600	15.5989	NA	1.1450	0.8734	2.1140	Bollhofer2001	europe
Heidelberg1	17.7300	15.5935	NA	1.1370	0.8795	2.1200	Bollhofer2001	europe
Hamburg	17.7800	15.5557	NA	1.1430	0.8749	2.1140	Bollhofer2001	europe
Schwarzheide	17.8000	15.5999	NA	1.1410	0.8764	2.1210	Bollhofer2001	europe
Heidelberg2	17.9800	15.6084	NA	1.1519	0.8681	2.1060	Bollhofer2001	europe
Heidelberg3	18.0100	15.5931	NA	1.1550	0.8658	2.1060	Bollhofer2001	europe
Constance	17.8500	15.6170	NA	1.1430	0.8749	2.1170	Bollhofer2001	europe
Plon	18.0450	15.6107	NA	1.1559	0.8651	2.1010	Bollhofer2001	europe
Innsbruck	18.0300	15.5833	NA	1.1570	0.8643	2.1020	Bollhofer2001	europe
Odense	17.7900	15.5502	NA	1.1440	0.8741	2.1110	Bollhofer2001	europe
Copenhagen	17.7500	15.5845	NA	1.1390	0.8780	2.1190	Bollhofer2001	europe
Rejkjavik	17.3300	15.4324	NA	1.1230	0.8905	2.1260	Bollhofer2001	europe
Groningen	17.6600	15.5867	NA	1.1330	0.8826	2.1240	Bollhofer2001	europe
Emmen	17.7200	15.5847	NA	1.1370	0.8795	2.1190	Bollhofer2001	europe
Montpellier	17.6100	15.5849	NA	1.1299	0.8850	2.1250	Bollhofer2001	europe
Grenoble1	17.8200	15.6050	NA	1.1419	0.8757	2.1090	Bollhofer2001	europe
Grenoble2	17.7800	15.6108	NA	1.1390	0.8780	2.1130	Bollhofer2001	europe
Grenoble3	17.6200	15.6060	NA	1.1291	0.8857	2.1270	Bollhofer2001	europe
Grenoble4	17.3150	15.5991	NA	1.1100	0.9009	2.1480	Bollhofer2001	europe
Paris	17.6300	15.5743	NA	1.1320	0.8834	2.1240	Bollhofer2001	europe
Chateauneuf	17.7400	15.6023	NA	1.1370	0.8795	2.1200	Bollhofer2001	europe
Avignon	17.6250	15.6105	NA	1.1291	0.8857	2.1220	Bollhofer2001	europe
Madrid	17.0300	15.5245	NA	1.0970	0.9116	2.1620	Bollhofer2001	europe
Valencia	17.4500	15.5671	NA	1.1210	0.8921	2.1360	Bollhofer2001	europe
Venice1	17.9800	15.6210	NA	1.1510	0.8688	2.1090	Bollhofer2001	europe
Venice2	18.0400	15.6335	NA	1.1539	0.8666	2.1010	Bollhofer2001	europe
Rome	17.3550	15.5726	NA	1.1145	0.8973	2.1370	Bollhofer2001	europe
Athens	17.7800	15.5966	NA	1.1400	0.8772	2.1200	Bollhofer2001	europe
Ankara	17.5500	15.6283	NA	1.1230	0.8905	2.1410	Bollhofer2001	europe
